# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2021-Feb-21 21:14:22 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	20	-187245.725000	4.701162
2	20	-173387.330000	7823.497529
3	20	-163580.470000	1383.085785
4	20	-158607.820000	14960.398956
5	20	-256228.110000	417467.641914
6	20	-232260.385000	372613.230138
7	20	-216673.975000	176991.888860
8	20	-644020.255000	1112337.156048
9	20	-325466.635000	289773.207994
10	20	-314359.680000	203576.158175
11	20	-674895.150000	1016053.936114
12	20	-302816.040000	223298.417791
13	20	-985652.295000	1631343.106989

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_16_f	16	3	-164894.9	-155791.1	18207.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_8_f	8	3	-164016.0	-155774.3	16483.2
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_6_f	6	3	-157994.9	-153967.0	8055.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_14_f	14	3	-163726.7	-155784.0	15885.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_2_f	2	3	-163286.3	-155785.5	15001.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_17_f	17	3	-163655.0	-155766.5	15777.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K3_run_5_f	5	3	-163838.6	-155766.6	16144.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_15_f	15	4	-149707.2	-144878.1	9658.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_2_f	2	4	-156826.7	-151147.0	11359.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_12_f	12	4	-156543.8	-150768.0	11551.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_3_f	3	4	-156506.4	-150771.7	11469.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_9_f	9	4	-156685.8	-150908.1	11555.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_7_f	7	4	-156879.6	-151147.0	11465.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_5_f	5	4	-156484.9	-150768.8	11432.2
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_6_f	6	4	-220361.7	-150805.6	139112.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_14_f	14	4	-149716.8	-144879.6	9674.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_17_f	17	4	-156857.2	-151150.0	11414.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_18_f	18	4	-149664.1	-144883.1	9561.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K4_run_20_f	20	4	-156512.5	-150767.5	11489.9
