# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2021-Feb-21 22:40:20 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	12	-187246.216667	3.822620
2	12	-175714.341667	7035.062071
3	12	-163403.891667	1753.279190
4	12	-161302.216667	18863.413546
5	12	-325081.600000	536746.072887
6	12	-287962.183333	480990.935736
7	12	-243785.658333	218364.143687
8	12	-739796.950000	1257515.576902
9	12	-426226.283333	339679.406535
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_7_f	7	5	-152792.0	-145983.4	13617.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_6_f	6	5	-356825.9	-149707.4	414237.0
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_11_f	11	5	-152118.5	-145709.6	12817.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_5_f	5	5	-151476.9	-145294.3	12365.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_9_f	9	5	-151670.3	-145292.2	12756.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_12_f	12	5	-153872.1	-146627.8	14488.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_2_f	2	5	-153044.0	-146440.7	13206.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_4_f	4	5	-2019239.4	-148664.2	3741150.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_10_f	10	5	-154051.9	-147236.6	13630.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K5_run_8_f	8	5	-152244.6	-145906.0	12677.2
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_6_f	6	6	-148028.6	-140738.3	14580.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_7_f	7	6	-146867.3	-140023.8	13687.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_9_f	9	6	-150050.1	-142143.0	15814.2
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_2_f	2	6	-154313.2	-147594.7	13437.0
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_8_f	8	6	-147872.1	-141097.5	13549.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_10_f	10	6	-148398.9	-141190.2	14417.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_12_f	12	6	-1815297.0	-143150.3	3344293.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_4_f	4	6	-148902.0	-141180.7	15442.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_11_f	11	6	-152605.6	-147138.8	10933.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_3_f	3	6	-148340.6	-141427.4	13826.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_5_f	5	6	-146959.8	-140012.5	13894.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K6_run_1_f	1	6	-147911.0	-140579.5	14663.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_2_f	2	7	-151078.4	-144105.1	13946.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_12_f	12	7	-150634.8	-143913.2	13443.2
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_3_f	3	7	-145060.0	-137437.6	15244.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_9_f	9	7	-151477.7	-144422.0	14111.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_5_f	5	7	-501436.9	-147334.5	708204.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_4_f	4	7	-225137.7	-137898.4	174478.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_7_f	7	7	-144097.2	-137075.4	14043.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_6_f	6	7	-151260.4	-144545.9	13428.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_1_f	1	7	-148376.1	-142346.2	12059.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_8_f	8	7	-857689.5	-144775.0	1425829.0
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_11_f	11	7	-146820.8	-140628.6	12384.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K7_run_10_f	10	7	-152358.4	-144168.6	16379.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_1_f	1	8	-1477613.1	-138619.5	2677987.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_7_f	7	8	-142211.5	-133216.6	17989.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_2_f	2	8	-4490255.8	-135817.4	8708876.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_10_f	10	8	-263501.0	-138187.3	250627.4
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_9_f	9	8	-162918.6	-138103.2	49630.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K8_run_11_f	11	8	-142788.7	-135670.8	14235.7
