# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
HGRF669	2	1.0000	0.0000	0.0000	0.9935	0.0032	0.0004	0.0129	0.0128	0.0008	0.9871	0.0128	0.0008	0.0065	0.0032	0.0004	0.9935	0.0032	0.0004	0.0129	0.0128	0.0008	0.0000	48.3678	0.0000
HGRF670	0	1.0000	0.0000	0.0000	0.9954	0.0023	0.0004	0.0092	0.0092	0.0007	0.9908	0.0092	0.0007	0.0046	0.0023	0.0004	0.9954	0.0023	0.0004	0.0092	0.0092	0.0007	0.0000	48.5501	0.0000
PTP721	16	1.0000	0.0000	0.0000	0.9933	0.0033	0.0004	0.0134	0.0132	0.0008	0.9866	0.0132	0.0008	0.0067	0.0033	0.0004	0.9933	0.0033	0.0004	0.0134	0.0132	0.0008	0.0000	48.3472	0.0000
PTP722	18	1.0000	0.0000	0.0000	0.9930	0.0035	0.0004	0.0140	0.0138	0.0008	0.9860	0.0138	0.0008	0.0070	0.0035	0.0004	0.9930	0.0035	0.0004	0.0140	0.0138	0.0008	0.0000	48.3142	0.0000
PTP723	0	1.0000	0.0000	0.0000	0.9945	0.0027	0.0005	0.0110	0.0108	0.0009	0.9890	0.0108	0.0009	0.0055	0.0027	0.0005	0.9945	0.0027	0.0005	0.0110	0.0108	0.0009	0.0000	48.4665	0.0000
PTP724	0	1.0000	0.0000	0.0000	0.9946	0.0027	0.0004	0.0108	0.0107	0.0008	0.9892	0.0107	0.0008	0.0054	0.0027	0.0004	0.9946	0.0027	0.0004	0.0108	0.0107	0.0008	0.0000	48.4749	0.0000
PTP725	2	1.0000	0.0000	0.0000	0.9960	0.0020	0.0004	0.0080	0.0079	0.0007	0.9920	0.0079	0.0007	0.0040	0.0020	0.0004	0.9960	0.0020	0.0004	0.0080	0.0079	0.0007	0.0000	48.6124	0.0000
PTP726	1	1.0000	0.0000	0.0000	0.9941	0.0029	0.0004	0.0118	0.0116	0.0008	0.9882	0.0116	0.0008	0.0059	0.0029	0.0004	0.9941	0.0029	0.0004	0.0118	0.0116	0.0008	0.0000	48.4259	0.0000
PTP727	0	1.0000	0.0000	0.0000	0.9938	0.0030	0.0004	0.0123	0.0122	0.0009	0.9877	0.0122	0.0009	0.0062	0.0030	0.0004	0.9938	0.0030	0.0004	0.0123	0.0122	0.0009	0.0000	48.4001	0.0000
PTP728	2	1.0000	0.0000	0.0000	0.9936	0.0032	0.0004	0.0128	0.0126	0.0008	0.9872	0.0126	0.0008	0.0064	0.0032	0.0004	0.9936	0.0032	0.0004	0.0128	0.0126	0.0008	0.0000	48.3749	0.0000
PTP729	12	1.0000	0.0000	0.0000	0.9956	0.0022	0.0003	0.0088	0.0087	0.0007	0.9912	0.0087	0.0007	0.0044	0.0022	0.0003	0.9956	0.0022	0.0003	0.0088	0.0087	0.0007	0.0000	48.5702	0.0000
PTP730	1	1.0000	0.0000	0.0000	0.9928	0.0035	0.0005	0.0143	0.0141	0.0009	0.9857	0.0141	0.0009	0.0072	0.0035	0.0005	0.9928	0.0035	0.0005	0.0143	0.0141	0.0009	0.0000	48.3017	0.0000
RRL782	0	1.0000	0.0000	0.0000	0.9880	0.0058	0.0006	0.0239	0.0234	0.0012	0.9761	0.0234	0.0012	0.0120	0.0058	0.0006	0.9880	0.0058	0.0006	0.0239	0.0234	0.0012	0.0000	47.8295	0.0000
RRL783	4	1.0000	0.0000	0.0000	0.9859	0.0068	0.0006	0.0281	0.0273	0.0012	0.9719	0.0273	0.0012	0.0141	0.0068	0.0006	0.9859	0.0068	0.0006	0.0281	0.0273	0.0012	0.0000	47.6242	0.0000
RRL784	6	1.0000	0.0000	0.0000	0.9813	0.0090	0.0006	0.0374	0.0360	0.0013	0.9626	0.0360	0.0013	0.0187	0.0090	0.0006	0.9813	0.0090	0.0006	0.0374	0.0360	0.0013	0.0000	47.1719	0.0000
RRL785	3	1.0000	0.0000	0.0000	0.9806	0.0093	0.0007	0.0388	0.0373	0.0013	0.9612	0.0373	0.0013	0.0194	0.0093	0.0007	0.9806	0.0093	0.0007	0.0388	0.0373	0.0013	0.0000	47.1025	0.0000
RRL786	2	1.0000	0.0000	0.0000	0.9811	0.0091	0.0006	0.0378	0.0364	0.0013	0.9622	0.0364	0.0013	0.0189	0.0091	0.0006	0.9811	0.0091	0.0006	0.0378	0.0364	0.0013	0.0000	47.1501	0.0000
RRL787	8	1.0000	0.0000	0.0000	0.9778	0.0106	0.0007	0.0445	0.0425	0.0014	0.9555	0.0425	0.0014	0.0222	0.0106	0.0007	0.9778	0.0106	0.0007	0.0445	0.0425	0.0014	0.0000	46.8217	0.0000
RRL788	104	1.0000	0.0000	0.0000	0.9787	0.0102	0.0007	0.0426	0.0408	0.0013	0.9574	0.0408	0.0013	0.0213	0.0102	0.0007	0.9787	0.0102	0.0007	0.0426	0.0408	0.0013	0.0000	46.9152	0.0000
RRL789	2	1.0000	0.0000	0.0000	0.9784	0.0103	0.0007	0.0431	0.0413	0.0014	0.9569	0.0413	0.0014	0.0216	0.0103	0.0007	0.9784	0.0103	0.0007	0.0431	0.0413	0.0014	0.0000	46.8880	0.0000
